Player,Agents,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
LugLumpy  VEXO,(+4),489,0.75,172.3,0.72,63%,116.8,0.6,0.26,0.07,0.1,29%,10%,5/51,27,295,407,128,36,49
nmgreen  Glue,(+2),392,0.75,178.2,0.79,64%,122.1,0.63,0.16,0.13,0.14,26%,8%,3/38,25,246,312,62,49,55
rushhh  QoR.GC,(+4),935,0.75,152.0,0.7,65%,104.1,0.53,0.23,0.04,0.07,21%,10%,13/135,25,498,715,216,40,68
Romey,(+5),263,0.75,156.3,0.7,63%,107.0,0.54,0.23,0.03,0.08,29%,9%,4/44,23,142,204,60,9,22
Dagr1s  GenZ,(+2),368,0.75,166.5,0.71,60%,116.2,0.58,0.16,0.11,0.15,19%,14%,5/35,22,213,302,60,39,54
PreTaxMicrob  TMV,,233,0.75,170.6,0.73,60%,110.6,0.6,0.24,0.1,0.1,26%,19%,5/27,23,140,193,56,24,23
habibti,(+5),634,0.75,173.1,0.74,64%,117.4,0.6,0.24,0.09,0.12,27%,9%,6/69,28,380,515,154,56,77
coffeemaker1  RE,(+2),243,0.75,159.5,0.7,62%,109.1,0.56,0.32,0.05,0.08,25%,13%,5/40,19,135,193,78,12,19
casuaL  EMP,(+4),388,0.75,173.6,0.77,60%,113.4,0.62,0.18,0.09,0.11,28%,5%,3/62,22,241,313,71,36,42
peachtea  TMV,(+1),625,0.75,149.0,0.67,63%,98.7,0.52,0.26,0.04,0.08,29%,9%,9/105,20,322,483,164,27,47
Lou  Legi,(+8),909,0.74,170.3,0.73,60%,117.2,0.6,0.21,0.1,0.12,26%,10%,12/121,28,542,745,193,90,107
zoe  FG,(+4),491,0.74,159.3,0.68,61%,113.8,0.56,0.19,0.08,0.13,25%,8%,5/62,23,274,401,92,41,65
GetGreedy  CN,(+1),590,0.74,189.0,0.89,61%,123.9,0.67,0.26,0.06,0.11,19%,14%,12/85,27,394,445,153,36,66
Pyro  AOE,(+7),535,0.74,178.8,0.72,61%,120.3,0.59,0.26,0.07,0.13,22%,8%,6/72,26,317,442,140,36,72
root  NG,(+2),303,0.74,198.1,0.77,59%,135.5,0.67,0.23,0.12,0.15,22%,10%,2/20,26,203,262,69,35,44
Tn  TMA,(+1),217,0.74,183.4,0.74,59%,124.4,0.63,0.15,0.13,0.18,23%,16%,3/19,20,137,185,33,28,39
Gio  IluZ,(+2),489,0.74,164.6,0.71,64%,107.8,0.57,0.3,0.06,0.11,29%,13%,9/69,19,277,392,147,27,54
Fonder  Valo,,288,0.74,155.5,0.67,58%,105.4,0.54,0.22,0.03,0.08,40%,2%,1/47,19,156,233,64,10,24
Beko,(+3),217,0.74,185.7,0.72,58%,123.9,0.59,0.16,0.08,0.07,29%,5%,2/44,17,129,179,35,18,16
Prof  Taip,(+7),385,0.74,154.3,0.65,64%,101.4,0.52,0.33,0.05,0.07,21%,5%,4/76,21,199,304,126,20,28
serg  Oni,(+7),370,0.74,165.7,0.73,64%,114.4,0.59,0.23,0.08,0.15,22%,5%,2/39,20,218,299,85,29,57
enaye  Reve,(+5),474,0.74,157.5,0.68,62%,103.8,0.52,0.26,0.05,0.08,24%,18%,10/57,23,248,367,123,26,40
Mile  TOP,(+1),561,0.74,138.1,0.63,64%,94.2,0.47,0.29,0.03,0.08,20%,8%,7/83,19,265,421,162,19,46
kilroy  Ultr,,206,0.74,162.4,0.67,72%,108.6,0.54,0.15,0.07,0.11,20%,9%,3/33,15,111,166,30,14,23
potter  EG,(+2),682,0.74,139.3,0.65,63%,90.4,0.49,0.24,0.04,0.09,20%,8%,8/102,18,333,510,161,30,63
Rano  Igni,(+5),1483,0.74,152.0,0.65,64%,101.9,0.51,0.34,0.06,0.11,17%,11%,18/169,20,757,1173,501,89,161
Dreylo,(+1),424,0.74,162.5,0.65,61%,111.2,0.52,0.26,0.07,0.07,17%,9%,6/70,18,220,336,112,30,29
Neat,(+3),210,0.74,177.9,0.7,61%,114.2,0.58,0.24,0.06,0.1,16%,9%,3/34,18,121,174,51,12,21
Benevolence  Ecle,,557,0.74,188.6,0.79,58%,118.7,0.67,0.13,0.15,0.23,23%,20%,9/45,25,371,472,72,86,128
witmer  N8V,(+7),1174,0.74,184.1,0.76,62%,117.8,0.62,0.17,0.13,0.17,21%,5%,5/110,21,730,965,204,147,180
LuckyLeader  LYE,(+5),345,0.74,163.2,0.7,63%,106.6,0.57,0.31,0.06,0.08,18%,10%,7/69,20,195,278,106,19,27
BaTz  Gx,(+2),283,0.74,165.3,0.68,61%,107.1,0.55,0.25,0.04,0.07,25%,4%,2/53,15,156,231,72,11,21
Apidaez  YFPB,(+4),751,0.74,146.4,0.66,67%,96.0,0.5,0.3,0.05,0.08,14%,17%,16/95,20,373,565,229,35,60
LeViperrr,(+3),224,0.74,159.7,0.71,62%,104.8,0.57,0.22,0.05,0.05,32%,7%,4/54,22,128,181,49,12,12
SexyChristian  0,(+10),1325,0.74,150.1,0.65,64%,101.9,0.51,0.31,0.05,0.07,25%,14%,21/155,19,680,1046,407,71,98
Ninja  TI,(+2),625,0.74,174.7,0.68,61%,120.7,0.56,0.21,0.06,0.1,17%,9%,5/56,19,352,516,132,40,51
Notta  OTF,,259,0.74,172.4,0.69,63%,117.0,0.56,0.23,0.09,0.1,27%,6%,2/33,20,146,211,60,24,27
Λero  AME,(+2),792,0.74,164.1,0.71,59%,112.2,0.57,0.13,0.06,0.09,29%,8%,14/165,20,452,638,106,48,72
spite  TMX,(+2),425,0.74,158.0,0.69,64%,107.3,0.56,0.26,0.05,0.1,29%,13%,10/78,22,237,343,112,20,41
cece,(+5),366,0.73,162.9,0.7,60%,110.3,0.57,0.14,0.08,0.1,25%,9%,5/56,26,209,297,53,29,38
Bellexion,(+4),475,0.73,165.2,0.74,61%,114.2,0.61,0.15,0.07,0.11,25%,8%,5/65,28,289,389,73,34,53
MOOD  Ecle,(+4),252,0.73,179.8,0.75,66%,116.4,0.62,0.17,0.11,0.09,26%,14%,6/42,22,157,210,42,28,23
pkr  TMA,(+3),352,0.73,162.4,0.67,65%,108.2,0.53,0.23,0.05,0.09,18%,11%,5/46,18,185,276,81,19,32
veloo  Acac,(+6),378,0.73,163.0,0.7,60%,106.1,0.57,0.21,0.07,0.11,22%,15%,6/40,19,214,306,80,27,42
sai  ROSE,,206,0.73,183.5,0.77,59%,121.2,0.66,0.07,0.18,0.21,41%,4%,1/24,27,136,176,15,37,43
AJ  Gx,(+5),467,0.73,176.4,0.72,61%,117.7,0.61,0.19,0.14,0.16,18%,16%,9/58,23,283,394,89,65,75
TomZu  Skyl,,209,0.73,148.3,0.64,65%,97.2,0.52,0.31,0.07,0.1,24%,9%,3/34,19,108,168,65,15,21
Jasprr  FG,(+4),334,0.73,158.1,0.68,59%,107.3,0.53,0.22,0.04,0.09,23%,9%,5/56,20,177,261,74,13,31
mist  RE,(+2),292,0.73,159.3,0.64,66%,107.5,0.52,0.34,0.06,0.13,24%,3%,1/30,24,152,239,99,17,38
Swifts  DK,(+9),1600,0.73,187.7,0.75,59%,125.0,0.64,0.18,0.13,0.2,22%,8%,9/110,32,1020,1359,282,206,315
ToastyUnicorns  Fans,(+2),258,0.73,166.8,0.7,62%,110.7,0.56,0.25,0.04,0.08,22%,11%,4/37,22,145,206,65,11,19
ermcaroline  EQ C,(+2),244,0.73,187.1,0.7,57%,120.2,0.6,0.14,0.2,0.18,24%,15%,4/26,17,147,211,34,48,44
NukeProphet  303,(+1),269,0.73,172.3,0.72,59%,108.8,0.61,0.13,0.11,0.15,22%,6%,2/31,18,163,227,35,30,40
Paige  YFPB,(+7),418,0.73,155.8,0.69,63%,108.9,0.55,0.25,0.06,0.06,27%,8%,4/52,25,230,334,105,24,27
Aloka  HZN,(+5),560,0.73,150.5,0.66,62%,102.8,0.5,0.24,0.04,0.09,25%,13%,9/70,18,282,428,135,22,49
Krinklebein  ME,,229,0.73,168.9,0.64,64%,114.9,0.52,0.32,0.05,0.08,24%,10%,3/31,17,118,185,74,12,19
Arec  Able,(+5),252,0.73,160.2,0.65,56%,110.9,0.54,0.18,0.08,0.16,24%,17%,5/30,18,137,212,45,20,40
Fearozen  Berz,(+7),409,0.73,165.4,0.68,62%,108.6,0.54,0.22,0.08,0.11,18%,6%,3/49,26,221,324,92,33,44
Boni  NXS,(+5),250,0.73,167.9,0.65,60%,112.3,0.54,0.32,0.08,0.1,25%,21%,7/33,22,136,208,79,20,24
Synergy  Valo,(+2),494,0.72,149.6,0.61,60%,102.3,0.51,0.25,0.09,0.12,22%,12%,11/94,19,252,411,123,42,57
brisk,,296,0.72,180.1,0.73,63%,126.7,0.58,0.21,0.07,0.1,25%,9%,4/45,25,173,236,62,21,31
Imposter  GenZ,(+4),471,0.72,147.4,0.66,64%,98.6,0.54,0.32,0.04,0.08,33%,6%,3/49,23,255,386,151,19,39
LBuddy  Skyl,(+8),497,0.72,173.3,0.67,62%,117.4,0.57,0.25,0.1,0.18,21%,7%,4/54,19,282,421,122,52,91
Nudle  N4D,(+3),409,0.72,153.3,0.66,59%,105.2,0.53,0.26,0.06,0.11,36%,11%,5/46,21,218,331,107,24,46
reprive,(+3),400,0.72,188.3,0.74,62%,125.7,0.66,0.23,0.13,0.15,27%,3%,1/32,34,263,355,93,52,61
Vigilance  AU,(+5),273,0.72,177.1,0.69,57%,119.2,0.59,0.2,0.1,0.25,20%,13%,3/23,20,160,231,55,28,69
Cfax  Cat,(+4),588,0.72,175.5,0.69,61%,114.5,0.58,0.21,0.08,0.13,23%,5%,4/80,24,339,494,121,49,74
arcKite  NIX,(+2),212,0.72,138.1,0.61,66%,86.2,0.48,0.36,0.03,0.1,17%,3%,1/33,16,101,166,76,6,22
sideSWIPE,(+5),327,0.72,195.4,0.76,55%,126.9,0.65,0.21,0.12,0.16,25%,14%,5/35,25,211,279,69,40,52
JPARK  SLMY,(+2),458,0.72,161.5,0.68,63%,103.5,0.57,0.26,0.07,0.12,27%,9%,5/58,24,259,380,120,32,54
nobu  Hype,(+1),202,0.72,173.2,0.67,66%,114.6,0.58,0.31,0.06,0.12,27%,8%,2/25,19,117,174,62,13,25
karma  GenZ,(+4),340,0.72,159.1,0.7,60%,110.7,0.59,0.25,0.06,0.08,26%,8%,5/60,20,199,284,85,20,28
n4ts  ez5,,675,0.72,149.6,0.68,59%,96.9,0.51,0.17,0.08,0.13,21%,12%,6/52,22,342,500,116,55,82
Natty  VX,(+6),648,0.72,164.8,0.67,65%,110.4,0.56,0.24,0.08,0.13,22%,13%,11/87,21,365,544,157,53,85
dior  BASE,(+7),361,0.72,146.1,0.62,66%,95.6,0.5,0.3,0.07,0.14,17%,18%,9/49,20,180,292,110,26,49
Kraken  TR,(+2),247,0.72,160.8,0.65,60%,109.3,0.54,0.22,0.06,0.12,24%,5%,2/39,20,134,207,54,14,29
polarbear  TF,(+7),298,0.71,155.3,0.68,60%,107.9,0.54,0.2,0.06,0.13,28%,13%,5/38,23,161,236,61,19,38
Lana  MRB,(+7),393,0.71,155.3,0.66,60%,103.2,0.54,0.24,0.06,0.09,27%,13%,5/38,17,214,322,93,23,37
JoshRT  TGRD,(+5),873,0.71,171.4,0.77,67%,105.6,0.59,0.37,0.06,0.11,19%,11%,10/95,30,513,666,325,54,82
griffin  Team,(+4),274,0.71,150.3,0.6,63%,98.8,0.5,0.31,0.05,0.15,16%,10%,4/40,16,136,225,84,13,41
Daimyo  AOE,(+4),301,0.71,166.9,0.69,62%,110.8,0.57,0.24,0.05,0.1,27%,13%,6/46,23,172,251,71,14,29
asian  PMA,(+1),316,0.71,162.2,0.69,63%,101.5,0.56,0.22,0.06,0.14,20%,13%,4/30,22,176,255,68,18,45
Shuga  YFPW,(+5),408,0.71,181.3,0.7,59%,121.7,0.61,0.21,0.05,0.09,20%,8%,6/77,19,248,352,84,22,36
Atake  RF,(+3),396,0.71,160.7,0.69,61%,106.2,0.54,0.21,0.06,0.12,29%,13%,9/67,21,214,309,82,24,48
ARES  AOE,(+7),1359,0.71,148.4,0.62,61%,102.6,0.48,0.29,0.05,0.09,21%,8%,18/218,24,659,1056,394,65,123
witch  GODS,(+2),233,0.71,164.1,0.64,55%,113.6,0.55,0.21,0.06,0.1,23%,10%,3/31,21,127,197,50,15,23
laoken  Ecle,(+2),252,0.71,176.6,0.71,58%,120.5,0.61,0.16,0.07,0.1,27%,4%,2/55,20,153,216,41,18,24
heist  NMG,(+3),493,0.71,139.3,0.62,65%,95.9,0.48,0.26,0.06,0.1,27%,5%,3/60,19,239,386,129,28,48
HyperDuck  NXS,(+2),249,0.71,164.0,0.65,56%,110.9,0.55,0.2,0.07,0.12,24%,15%,6/40,19,137,212,51,17,30
Starryy  Asto,(+5),869,0.71,163.6,0.66,61%,109.8,0.55,0.29,0.07,0.13,20%,9%,10/111,24,474,721,256,59,109
pao  Ahji,(+3),305,0.71,169.5,0.79,53%,108.9,0.61,0.2,0.07,0.12,26%,14%,6/42,22,187,238,60,20,38
dino  ASP,,389,0.71,152.9,0.65,60%,105.6,0.53,0.28,0.06,0.09,24%,9%,5/57,17,207,317,107,25,36
Drakious  TO,(+3),572,0.71,149.3,0.65,64%,100.7,0.51,0.24,0.05,0.11,27%,13%,12/90,22,294,453,138,27,63
MELYA  TPG,(+2),310,0.71,171.4,0.7,62%,114.5,0.59,0.24,0.09,0.12,28%,13%,5/39,25,183,260,75,27,37
zid,(+1),516,0.71,195.7,0.86,61%,120.7,0.68,0.15,0.13,0.15,20%,7%,4/56,23,349,405,78,65,77
egggs831  Hype,,222,0.71,160.8,0.74,54%,103.9,0.59,0.09,0.09,0.11,29%,5%,2/39,20,132,179,20,19,25
SangoGG  YFPB,(+1),352,0.71,167.1,0.71,62%,113.0,0.6,0.17,0.13,0.19,26%,17%,6/35,21,211,299,60,44,67
Sofia,(+3),435,0.71,165.8,0.7,61%,115.1,0.56,0.22,0.07,0.12,15%,10%,4/42,33,245,350,94,32,54
Vinny  TM,(+3),252,0.71,188.6,0.73,61%,116.8,0.62,0.21,0.1,0.15,18%,3%,1/36,22,157,214,53,24,38
stobie  Acac,(+4),275,0.7,161.8,0.7,64%,105.1,0.55,0.26,0.06,0.1,24%,10%,5/51,17,151,217,72,16,27
shinobi  CLG,(+5),1778,0.7,158.0,0.74,60%,103.9,0.54,0.26,0.05,0.07,23%,11%,16/141,21,968,1308,463,93,102
paranoid  PYR,(+3),342,0.7,183.4,0.81,62%,115.8,0.63,0.28,0.1,0.14,17%,20%,8/40,24,217,269,97,34,47
Jaomock  KGG,(+2),230,0.7,173.5,0.7,63%,114.1,0.57,0.24,0.07,0.08,24%,7%,3/42,18,132,189,56,15,18
Demo  AKM,(+3),241,0.7,174.6,0.73,52%,114.5,0.61,0.17,0.11,0.14,25%,3%,1/35,25,147,202,41,27,34
flavor  zest,(+3),250,0.7,152.8,0.69,63%,103.3,0.53,0.24,0.04,0.08,23%,23%,9/39,23,132,191,59,9,21
trunkZ  AI,(+4),766,0.7,173.4,0.72,59%,118.0,0.6,0.14,0.1,0.16,25%,7%,8/115,31,462,645,109,78,125
aldenS  TeVo,(+1),394,0.7,149.6,0.67,57%,102.3,0.52,0.15,0.07,0.09,21%,12%,6/50,20,205,308,58,26,35
renai,(+3),297,0.7,157.0,0.63,56%,107.2,0.52,0.22,0.06,0.06,26%,5%,3/57,20,154,246,66,17,17
jD,(+3),220,0.7,170.3,0.68,57%,109.3,0.57,0.24,0.08,0.15,13%,11%,3/27,24,125,185,53,18,32
Jacket,(+2),298,0.7,144.4,0.64,62%,98.6,0.51,0.23,0.05,0.12,27%,16%,6/37,18,151,235,68,14,37
Sosa  VEXO,,220,0.7,169.2,0.65,60%,112.1,0.55,0.19,0.1,0.19,19%,11%,2/19,15,120,186,42,22,42
Jonji  BBGA,(+4),365,0.7,158.0,0.63,61%,114.5,0.52,0.26,0.07,0.14,21%,16%,7/43,22,191,301,94,27,52
Puffin  Conv,(+2),292,0.69,151.6,0.6,63%,102.9,0.49,0.35,0.04,0.08,27%,13%,6/46,18,143,240,102,12,23
Shockah Bobackah  100e,(+4),249,0.69,178.8,0.69,61%,119.6,0.59,0.18,0.1,0.13,21%,3%,1/33,20,147,212,46,24,33
Turnup  eU,(+1),982,0.69,165.6,0.74,60%,111.3,0.56,0.28,0.07,0.06,23%,11%,16/145,32,552,742,275,68,57
shrouts  RB,(+4),302,0.69,159.4,0.65,61%,105.0,0.55,0.2,0.08,0.13,22%,17%,6/36,16,167,255,59,23,38
Tailo,(+3),294,0.69,144.8,0.62,61%,101.5,0.49,0.27,0.04,0.12,21%,9%,4/43,24,143,230,79,12,35
Soapytw  AME,(+2),272,0.69,145.6,0.64,63%,93.7,0.51,0.35,0.06,0.15,24%,7%,3/41,15,140,220,94,15,42
Dreamz  DV,(+2),287,0.69,157.6,0.65,55%,103.2,0.53,0.21,0.05,0.12,21%,6%,2/34,16,151,234,59,15,34
powa,(+3),202,0.69,161.6,0.62,59%,107.6,0.52,0.2,0.07,0.08,21%,10%,3/29,20,105,170,41,15,16
Kurama  FG,(+5),1182,0.69,155.9,0.62,62%,102.0,0.51,0.36,0.06,0.11,17%,7%,9/122,24,598,967,425,68,125
Jinnie  Hype,(+3),248,0.69,151.1,0.66,58%,102.0,0.54,0.19,0.04,0.08,21%,10%,4/41,16,134,202,48,11,21
dKim  NXS,(+6),303,0.69,165.0,0.64,58%,108.3,0.55,0.2,0.06,0.08,24%,4%,2/50,19,168,261,60,17,25
Manbow  EMP,(+2),354,0.69,142.3,0.63,58%,94.2,0.5,0.21,0.04,0.07,26%,2%,1/56,18,177,279,76,13,26
CurryASD  UAESA.G,(+2),363,0.69,126.2,0.55,67%,83.7,0.42,0.36,0.05,0.09,19%,9%,3/33,17,154,280,130,17,32
Buhms  Roul,(+2),336,0.68,165.7,0.67,63%,108.5,0.57,0.2,0.06,0.13,21%,2%,1/50,22,191,284,66,21,42
Avxrsive  DNAD,(+1),203,0.68,169.2,0.62,60%,113.1,0.55,0.17,0.08,0.19,25%,,0/18,15,112,182,34,16,39
savi  DSRX,(+2),229,0.68,144.9,0.58,58%,94.7,0.48,0.28,0.06,0.11,18%,9%,3/33,17,109,189,64,14,25
Joey  Fina,,314,0.68,162.2,0.69,62%,103.3,0.58,0.25,0.09,0.14,24%,,0/18,19,181,261,77,28,44
aru  Chos,(+2),429,0.68,149.3,0.58,59%,99.8,0.49,0.23,0.04,0.09,25%,9%,6/66,20,210,359,97,16,37
JDawnX  Free,(+7),429,0.68,150.7,0.58,55%,101.1,0.48,0.2,0.04,0.1,21%,10%,8/78,15,208,361,85,18,42
Danii  WHIT,(+3),365,0.68,154.7,0.65,62%,104.9,0.54,0.22,0.04,0.14,24%,4%,2/52,20,197,304,82,15,51
Khaled  Stay,(+3),246,0.68,187.9,0.73,59%,132.9,0.66,0.2,0.13,0.17,25%,17%,3/18,35,163,222,48,33,41
Twizdd  Surf,(+3),200,0.68,153.5,0.61,64%,102.9,0.52,0.34,0.03,0.09,25%,9%,3/32,17,103,168,67,6,17
Drios  Acac,(+3),430,0.68,141.4,0.69,61%,91.5,0.53,0.22,0.04,0.08,27%,18%,12/68,30,228,329,95,16,36
Jenna  YFPB,(+3),517,0.68,150.0,0.64,59%,103.3,0.5,0.21,0.04,0.07,20%,11%,11/104,27,260,408,109,20,34
Ah1ra,,248,0.68,164.8,0.66,58%,108.8,0.56,0.22,0.06,0.13,26%,13%,4/32,18,138,209,55,14,32
ImJustDevin  NG,(+4),403,0.68,132.3,0.61,58%,92.6,0.47,0.21,0.04,0.09,31%,6%,4/65,18,191,314,83,15,38
ronaldo  OOKE,(+1),492,0.67,173.0,0.78,58%,113.1,0.59,0.28,0.08,0.09,25%,9%,5/54,19,292,376,138,40,46
coldy  VALK,(+3),417,0.67,145.1,0.63,61%,99.6,0.51,0.3,0.04,0.14,21%,13%,6/47,20,213,336,124,17,60
Atticus  Egir,(+4),334,0.67,149.3,0.65,58%,96.6,0.51,0.15,0.06,0.13,19%,23%,11/48,17,172,265,50,19,45
genuine  AIM,(+1),297,0.67,157.1,0.67,65%,100.3,0.55,0.27,0.09,0.16,20%,15%,3/20,20,164,244,81,27,49
FIERCE1  Able,(+1),212,0.67,156.6,0.6,63%,100.6,0.49,0.28,0.04,0.1,17%,3%,1/30,16,104,173,59,8,22
cciscray  Unbi,(+1),242,0.67,146.6,0.61,60%,96.5,0.5,0.18,0.05,0.07,25%,13%,6/48,16,122,200,43,12,17
Crit  Zeni,(+3),285,0.67,187.1,0.76,54%,122.7,0.63,0.23,0.09,0.1,27%,8%,2/24,20,179,236,65,26,29
nedg  BigP,(+5),377,0.67,137.4,0.57,59%,93.1,0.45,0.28,0.07,0.12,16%,6%,2/32,15,171,302,104,26,42
Jay,(+4),287,0.66,133.1,0.59,60%,91.2,0.45,0.21,0.04,0.06,21%,20%,11/54,15,130,220,61,12,17
hoot  Mach,(+4),247,0.66,145.8,0.65,63%,98.4,0.53,0.23,0.08,0.08,24%,11%,4/37,19,130,200,58,20,20
Social  Up N,(+3),390,0.66,158.5,0.6,61%,108.8,0.53,0.26,0.12,0.14,31%,9%,3/32,21,207,345,103,45,55
Laisha  Agog,(+3),282,0.66,133.5,0.53,60%,95.8,0.44,0.26,0.04,0.09,22%,7%,3/46,15,124,232,72,10,24
Kawaii  YFPB,,272,0.66,156.9,0.61,59%,108.4,0.51,0.24,0.03,0.08,23%,14%,8/58,19,139,227,64,8,22
Rykinn,(+2),215,0.66,164.3,0.62,58%,110.2,0.54,0.19,0.08,0.08,16%,9%,3/34,17,116,187,41,18,18
Agr0  CRWN,(+12),1921,0.66,167.0,0.67,58%,112.3,0.58,0.17,0.12,0.2,27%,13%,19/146,39,1106,1653,326,223,383
Bubbles  Orio,(+3),241,0.65,167.7,0.62,53%,107.7,0.56,0.2,0.06,0.12,16%,4%,2/52,16,134,217,49,15,28
Ames  SHIF,(+2),351,0.65,169.1,0.67,54%,115.6,0.58,0.14,0.13,0.25,25%,18%,4/22,24,203,305,48,47,88
gosha  Zeni,(+3),350,0.65,154.3,0.64,57%,99.9,0.54,0.16,0.11,0.14,31%,6%,4/62,18,189,295,57,40,49
tanaKa,,417,0.65,169.7,0.68,60%,106.8,0.56,0.18,0.14,0.17,22%,5%,2/39,21,233,345,75,59,70
wOBBS  Ecle,(+8),549,0.65,148.6,0.6,56%,100.6,0.5,0.19,0.06,0.11,20%,12%,11/94,25,276,463,105,34,62
Ryxoz  GenZ,(+3),235,0.65,173.0,0.64,56%,114.7,0.55,0.21,0.07,0.17,21%,4%,1/23,13,130,203,49,16,41
Lyt  God,,234,0.65,139.1,0.51,49%,88.9,0.44,0.13,0.06,0.1,17%,2%,1/51,12,104,205,30,14,23
Leaves,(+1),208,0.65,131.7,0.51,59%,89.5,0.41,0.29,0.04,0.07,25%,,0/24,14,85,166,61,8,14
spaz  IluZ,(+3),267,0.65,149.4,0.63,62%,101.1,0.53,0.27,0.06,0.1,26%,4%,1/27,19,142,225,72,15,28
tediousdeer2844  TPG,(+1),324,0.65,152.0,0.56,57%,103.8,0.47,0.31,0.05,0.14,19%,7%,3/44,15,153,272,101,17,46
ysk  Free,(+5),261,0.64,160.6,0.62,55%,103.9,0.54,0.15,0.13,0.17,26%,18%,5/28,16,141,228,40,33,45
azez  RR,(+8),1497,0.64,141.3,0.56,60%,97.8,0.46,0.3,0.06,0.12,19%,15%,28/184,25,690,1225,442,85,182
Shifty  AME,(+11),1352,0.64,137.8,0.56,60%,89.5,0.46,0.24,0.05,0.09,25%,12%,22/182,18,619,1098,322,70,125
aldm,(+3),237,0.64,141.3,0.55,55%,93.9,0.45,0.3,0.1,0.16,22%,17%,4/23,16,107,195,72,23,37
Hawk  DV,(+3),450,0.64,155.8,0.61,57%,106.7,0.53,0.22,0.06,0.09,27%,8%,5/60,22,237,388,99,28,42
Satty  Hype,,274,0.64,148.7,0.56,57%,99.1,0.47,0.25,0.04,0.09,25%,5%,2/38,17,129,229,68,12,24
Spook  New,(+4),229,0.64,141.4,0.53,58%,98.4,0.45,0.24,0.07,0.09,20%,10%,3/29,14,103,194,54,15,21
KaiC  Moon,(+1),248,0.64,161.5,0.62,57%,113.1,0.54,0.22,0.15,0.21,20%,,0/22,18,135,218,55,38,52
yukiyo  Over,(+4),288,0.63,148.1,0.61,56%,100.6,0.51,0.16,0.09,0.14,23%,6%,3/48,22,146,241,46,26,39
Grimm  Roch,(+2),212,0.63,165.1,0.63,57%,109.8,0.54,0.18,0.08,0.12,22%,,0/27,20,115,183,38,17,25
ksweet,(+3),222,0.63,146.5,0.62,63%,97.0,0.52,0.23,0.07,0.16,18%,9%,2/23,17,115,186,52,15,36
Jupiter  SHIF,(+1),236,0.63,142.8,0.56,60%,96.7,0.47,0.29,0.05,0.09,25%,3%,1/35,18,112,201,68,11,21
psychowinn  cowb,(+4),203,0.63,158.7,0.64,58%,105.0,0.55,0.18,0.1,0.17,22%,17%,3/18,22,111,174,37,20,35
mobi,(+1),274,0.63,145.8,0.63,57%,99.8,0.51,0.14,0.05,0.12,25%,,0/36,16,141,225,38,14,32
Nosyy,(+2),318,0.62,169.9,0.73,65%,106.8,0.58,0.36,0.07,0.1,23%,,0/38,26,184,252,115,23,33
Vorteez  SYR,(+6),286,0.62,152.6,0.58,52%,101.6,0.51,0.18,0.04,0.1,17%,6%,4/72,15,146,251,51,12,29
ragingpenguin  FWOG,(+2),287,0.62,153.9,0.58,56%,96.6,0.48,0.2,0.06,0.18,16%,11%,5/44,17,137,236,58,17,51
yongled  Hype,(+3),246,0.61,149.0,0.56,60%,98.1,0.49,0.29,0.06,0.08,26%,7%,2/30,19,121,218,72,14,20
carn0  Up N,(+6),329,0.61,154.2,0.59,55%,102.7,0.51,0.18,0.04,0.14,25%,16%,8/51,15,167,285,60,14,45
Soar  LZR,,206,0.61,149.5,0.58,55%,87.5,0.48,0.1,0.14,0.17,23%,6%,1/16,12,99,172,21,28,34
Coach Joe  YFP,(+5),346,0.61,144.8,0.54,57%,102.0,0.46,0.28,0.07,0.09,24%,2%,1/51,19,160,298,98,23,31
hyunseo  Achi,(+1),207,0.61,140.9,0.54,58%,94.7,0.46,0.28,0.05,0.09,23%,6%,2/36,13,96,178,58,11,19
spoog  Ecle,(+2),252,0.6,139.7,0.6,55%,95.8,0.51,0.22,0.04,0.13,26%,7%,2/29,14,128,215,55,10,34
Yoda  HBOX,(+1),239,0.6,163.7,0.65,53%,113.1,0.54,0.18,0.05,0.14,16%,7%,4/56,23,130,200,42,13,34
Laski  What,(+2),250,0.6,161.9,0.71,78%,126.7,0.54,0.19,0.1,0.13,24%,21%,3/14,18,135,190,47,25,15
Melllxz,(+2),245,0.59,131.7,0.5,50%,90.0,0.43,0.14,0.04,0.07,26%,4%,3/68,13,106,211,35,10,18
RKTA,(+1),201,0.59,156.4,0.7,52%,111.3,0.54,0.15,0.06,0.08,23%,11%,3/27,19,109,155,31,12,17
Dykaz,(+1),219,0.58,132.8,0.54,56%,84.1,0.45,0.25,0.03,0.11,13%,13%,6/48,12,99,184,54,6,24
Harmony  Zeni,(+3),417,0.58,146.3,0.63,54%,101.6,0.53,0.13,0.08,0.13,28%,7%,5/73,26,223,356,55,32,56
Karizmah  Vire,(+4),522,0.58,129.5,0.52,57%,86.7,0.43,0.24,0.03,0.1,15%,11%,6/57,23,222,429,126,18,53
JEFFREY  AKM,(+4),226,0.58,143.6,0.53,57%,99.4,0.46,0.25,0.05,0.17,18%,4%,1/24,15,103,195,56,11,39
chqse  Team,(+9),543,0.58,130.3,0.53,56%,89.1,0.45,0.19,0.06,0.13,23%,8%,6/74,19,243,461,105,32,70
