Player,Agents,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
Flop,(+3),225,0.8,178.3,0.79,65%,114.8,0.63,0.21,0.09,0.12,24%,5%,2/39,21,141,178,48,20,26
ZURC  mozz,(+4),418,0.8,171.2,0.74,63%,111.6,0.58,0.23,0.07,0.11,24%,12%,5/42,22,243,328,96,28,46
Burton  skol,,300,0.8,166.9,0.73,65%,113.9,0.56,0.24,0.04,0.05,18%,14%,12/83,22,169,232,71,12,16
Chrome  Acac,(+2),388,0.79,191.8,0.8,65%,125.6,0.67,0.16,0.13,0.19,26%,8%,3/39,26,259,323,63,51,74
V0NS  Valo,(+8),657,0.79,176.3,0.74,61%,116.0,0.6,0.2,0.11,0.11,23%,5%,4/85,30,396,538,134,69,70
Symbiotic  WR,(+4),479,0.79,170.3,0.78,67%,113.2,0.6,0.27,0.08,0.09,32%,12%,6/50,23,286,368,129,39,43
AlphaFly  Ambi,(+8),1319,0.79,160.7,0.74,67%,106.6,0.56,0.3,0.06,0.11,25%,15%,17/113,26,743,1007,398,73,143
Neprix  ROO,(+3),1069,0.79,166.1,0.74,67%,110.4,0.57,0.26,0.06,0.09,27%,7%,10/146,25,609,828,280,59,98
Klamran  NBG,(+6),1619,0.79,193.8,0.78,64%,127.9,0.65,0.21,0.14,0.17,21%,14%,14/99,24,1050,1348,337,222,270
Crazymojo  BAL,(+1),353,0.79,187.9,0.79,64%,122.3,0.63,0.16,0.12,0.14,22%,5%,2/40,24,222,281,56,41,49
Chobo  SLR,(+5),905,0.79,150.6,0.65,66%,98.0,0.5,0.26,0.07,0.13,17%,10%,9/89,23,454,695,238,62,118
Legedien  Up N,,220,0.79,193.9,0.78,62%,133.8,0.66,0.15,0.12,0.16,27%,7%,2/28,26,145,185,32,26,35
unae,(+6),655,0.79,173.8,0.77,65%,119.6,0.6,0.28,0.06,0.09,25%,9%,9/95,23,390,506,185,40,58
SHNOZERBULLDOZER,(+8),515,0.79,185.6,0.79,65%,118.3,0.65,0.21,0.1,0.13,26%,12%,9/73,25,334,423,108,51,67
FAMOUS,(+1),369,0.79,184.6,0.77,59%,112.0,0.64,0.12,0.12,0.18,24%,8%,4/52,21,235,305,44,44,67
Khai  OOKE,(+5),461,0.79,187.6,0.77,60%,127.7,0.62,0.27,0.09,0.13,24%,20%,9/45,23,287,375,123,42,51
SoberSushi  TOP,(+1),507,0.79,154.5,0.74,71%,99.8,0.55,0.32,0.04,0.07,25%,20%,13/65,20,278,378,161,21,36
Hope  1337,(+5),666,0.79,195.5,0.79,63%,129.7,0.65,0.25,0.11,0.13,19%,10%,9/90,28,430,547,166,70,88
Risorah  ZMM.W,(+3),350,0.79,204.1,0.82,59%,133.5,0.7,0.13,0.12,0.15,27%,9%,4/44,22,244,296,44,42,52
SoyAnthony  TR,(+5),933,0.79,172.1,0.78,63%,119.7,0.6,0.17,0.06,0.09,23%,8%,11/138,25,561,719,163,56,81
ino  Ente,(+6),285,0.79,187.6,0.82,64%,128.2,0.67,0.27,0.08,0.15,31%,29%,8/28,24,190,232,76,24,42
FaNbF4,,248,0.79,211.3,0.86,59%,136.4,0.72,0.14,0.15,0.2,24%,12%,2/17,25,178,208,35,38,49
Ezire  Big,(+5),915,0.79,171.1,0.75,63%,112.6,0.58,0.24,0.08,0.1,21%,10%,12/116,25,533,710,217,70,94
TonyV  Exot,(+2),412,0.79,170.0,0.77,59%,114.2,0.6,0.16,0.06,0.1,20%,9%,6/67,20,247,320,64,26,41
robwiz  SR.GC,,1259,0.79,202.0,0.91,67%,122.4,0.69,0.17,0.18,0.17,16%,16%,12/75,26,871,961,214,228,180
leah  LEV.GC,(+6),864,0.79,166.4,0.71,62%,108.9,0.56,0.28,0.07,0.1,25%,20%,21/103,20,486,688,242,58,87
Aery  Moon,(+6),388,0.79,202.2,0.75,65%,132.1,0.66,0.27,0.12,0.12,24%,14%,5/35,20,256,342,106,47,47
Existinge  SLAY,(+1),219,0.78,157.4,0.68,63%,104.3,0.53,0.29,0.06,0.1,21%,,0/32,18,116,170,64,14,22
JGM  Igni,(+8),728,0.78,168.2,0.74,63%,113.4,0.58,0.2,0.05,0.07,28%,8%,11/145,21,419,566,147,35,53
fraggleton  AOE,(+11),803,0.78,162.2,0.71,62%,104.6,0.56,0.27,0.04,0.08,24%,14%,20/142,22,447,629,218,32,61
